PlayerName,Team,PlayerNumber,GamesPlayed,GamesStarted,StartingPercentage,TotalPoints,AvgPointsPerGame,1PMadeShots,2PMadeShots,3PMadeShots,TotalFieldGoalsMade,AvgShotsPerGame,PointsPerShot,FTAttempts,FTMakes,FTPercentage,TotalFouls,AvgFoulsPerGame,PFouls,P1Fouls,P2Fouls,P3Fouls,T1Fouls,U1Fouls,U2Fouls,U3Fouls,GDFouls
FELTEN Sylvain,Telstar Hesperange D,10,2,2,100.0,29,14.5,10,9,1,20,10.0,1.45,0,0,0.0,6,3.0,2,0,3,0,1,0,0,0,0
BESENIUS Jerome,Black Star Mersch,15,7,2,28.6,29,4.14,2,3,7,12,1.71,2.42,0,0,0.0,14,2.0,4,3,7,0,0,0,0,0,0
HORSMANS Noah,Nitia Bettembourg B,15,2,2,100.0,29,14.5,3,10,2,15,7.5,1.93,2,1,50.0,8,4.0,4,0,4,0,0,0,0,0,0
SABOTIC Leis,BC Mess,12,6,0,0.0,29,4.83,1,8,4,13,2.17,2.23,0,0,0.0,8,1.33,5,0,3,0,0,0,0,0,0
MAURICIO GOMES Fabio Samuel,North Fox C,9,2,2,100.0,29,14.5,2,12,1,15,7.5,1.93,0,0,0.0,5,2.5,1,0,4,0,0,0,0,0,0
MEYER Max,Amicale Steesel C,15,2,2,100.0,29,14.5,6,4,5,15,7.5,1.93,4,3,75.0,1,0.5,1,0,0,0,0,0,0,0,0
DAVID Pit,Basket Esch C,12,6,3,50.0,29,4.83,2,12,1,15,2.5,1.93,2,1,50.0,11,1.83,2,1,7,1,0,0,0,0,0
SCHMIT Gregory,BBC Käldall,5,3,3,100.0,29,9.67,3,7,4,14,4.67,2.07,2,1,50.0,6,2.0,3,0,2,0,0,0,1,0,0
REUTER Luc,T71 Dudelange C,7,3,2,66.7,29,9.67,7,11,0,18,6.0,1.61,4,2,50.0,7,2.33,1,2,4,0,0,0,0,0,0
CONTROGUERRA David,Arantia Larochette B,15,2,2,100.0,29,14.5,6,10,1,17,8.5,1.71,4,3,75.0,0,0.0,0,0,0,0,0,0,0,0,0
CHEN Owen,Nitia Bettembourg B,7,2,0,0.0,29,14.5,2,9,3,14,7.0,2.07,0,0,0.0,3,1.5,0,0,3,0,0,0,0,0,0
THIL Christophe,Telstar Hesperange E,5,5,3,60.0,29,5.8,6,10,1,17,3.4,1.71,8,4,50.0,5,1.0,5,0,0,0,0,0,0,0,0
TOUSCH Laurent,Basket Esch B,13,5,5,100.0,29,5.8,5,9,2,16,3.2,1.81,0,0,0.0,19,3.8,5,2,10,2,0,0,0,0,0
HERRMANN Yann,Musel Pikes B,15,3,1,33.3,29,9.67,2,10,3,15,5.0,1.93,0,0,0.0,4,1.33,2,0,2,0,0,0,0,0,0
ALVES NEVES Devin Junior,Rebound Préizerdaul B,4,3,3,100.0,28,9.33,3,8,3,14,4.67,2.0,0,0,0.0,9,3.0,1,1,6,1,0,0,0,0,0
MIGUEL Gonzalez Vargas,Résidence Walferdange B,4,4,4,100.0,28,7.0,7,5,3,15,3.75,1.87,0,0,0.0,8,2.0,4,1,2,0,1,0,0,0,0
PARISI David,Telstar Hesperange D,12,2,1,50.0,28,14.0,6,8,2,16,8.0,1.75,0,0,0.0,4,2.0,2,1,1,0,0,0,0,0,0
OLY Philippe,Arantia Larochette B,7,2,0,0.0,28,14.0,4,12,0,16,8.0,1.75,4,2,50.0,6,3.0,4,0,2,0,0,0,0,0,0
ARENDT Nicolas,Racing Luxembourg B,10,5,4,80.0,28,5.6,2,13,0,15,3.0,1.87,0,0,0.0,14,2.8,4,0,10,0,0,0,0,0,0
KEMMER Raphael Felix,Kordall Steelers,14,7,0,0.0,28,4.0,3,2,7,12,1.71,2.33,3,1,33.3,12,1.71,8,0,4,0,0,0,0,0,0
THILL Damien,Basket Esch,13,7,0,0.0,28,4.0,6,5,4,15,2.14,1.87,0,0,0.0,9,1.29,4,3,1,1,0,0,0,0,0
